,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Gene,Rank
Gzmd,0.4236681871065028,0.9304035402364964,0.8267977202877629,1.1253097552236526,0.26045779734781593,0.9941115742069736,Gzmd,0.002386363927934733
AY036118,1.2680236503319848,0.5086145271380572,0.25746141365562686,1.975498075289704,0.04821165281691024,0.9941115742069736,AY036118,0.0013045300327181948
Bcl2,1.3249286032417031,0.4703306803582156,0.14130061827616433,3.3285818993302634,0.0008728933617669544,0.9941115742069736,Bcl2,0.0012063369508703205
Klra9,0.48740817830116434,0.4284722962183121,0.24674696610410587,1.7364845573725671,0.08247819255726103,0.9941115742069736,Klra9,0.001098975646153326
Hspa1a,0.4637748839324094,0.41726460759652145,0.32646372988709194,1.2781346575340335,0.2012019506927979,0.9941115742069736,Hspa1a,0.0010702293842509182
Gzme,0.19527587122046872,0.338620613181357,0.8333916645087676,0.4063162947291449,0.6845102141560824,0.9941115742069736,Gzme,0.0008685177792269895
Gimap9,0.3531933917066849,0.3383709076960375,0.25633630306318755,1.3200272597074485,0.18682591684084782,0.9941115742069736,Gimap9,0.0008678773171726185
Klra3,0.26308647583531747,0.3273402501718742,0.3440914000516933,0.9513177316337968,0.3414431084193644,0.9941115742069736,Klra3,0.0008395851169834682
1810037I17Rik,0.9157149944142929,0.30845596569106365,0.12673272740927477,2.433909314481381,0.014936736783361588,0.9941115742069736,1810037I17Rik,0.0007911493863128722
Hist1h1c,0.49236005628810825,0.272594293673385,0.25820103725648336,1.0557443787594245,0.29108501595547964,0.9941115742069736,Hist1h1c,0.0006991688673257437
Myc,0.23724263440700888,0.26285889287449904,0.28580864236280135,0.9197023949360835,0.3577283007716211,0.9941115742069736,Myc,0.0006741988319746925
Eif3e,0.7370603560985536,0.2597840120795588,0.1221356694971821,2.127011815213839,0.03341910150398497,0.9941115742069736,Eif3e,0.000666312163132182
Csnk2a1,0.23600170570063697,0.25573300891673245,0.2197563618015119,1.1637115158819171,0.2445409409659124,0.9941115742069736,Csnk2a1,0.0006559218675221061
Grina,0.5000412281800158,0.2547112770367489,0.1685220804862578,1.5114415648192725,0.13067598617678336,0.9941115742069736,Grina,0.0006533012582950669
Klri2,0.47111277449930744,0.24655746595487044,0.21708736333942336,1.1357522711691401,0.25606025745462135,0.9941115742069736,Klri2,0.0006323877946209678
Dnajb1,0.6772018221491407,0.2445530767986627,0.23362148777829186,1.0467918817071526,0.295195575458424,0.9941115742069736,Dnajb1,0.000627246797437421
Hspd1,0.4309488260604006,0.24452890789496903,0.18682517379011013,1.308864875831383,0.19058012631243992,0.9941115742069736,Hspd1,0.0006271848073466078
Cst7,0.8726258926994376,0.23829630034984564,0.11921467676181376,1.9988839195190058,0.045620915005327216,0.9941115742069736,Cst7,0.0006111989805741992
Cma1,0.15989635872277494,0.23596612924732388,0.6640311772185197,0.35535399141307494,0.7223244119992718,0.9941115742069736,Cma1,0.0006052223951201495
Ddit4,0.1857051662966194,0.23464119812315107,0.2949588284485443,0.7955049162533689,0.4263198523260213,0.9941115742069736,Ddit4,0.0006018241193129439
Emp3,0.7996455444935225,-0.45364821972376984,0.1643610357595105,-2.7600715560562548,0.005778870242685578,0.9941115742069736,Emp3,-0.0011635486116545076
Ier2,1.4855482311999768,-0.4549177036962996,0.15720429564076102,-2.8937994463959504,0.0038061117930171724,0.9941115742069736,Ier2,-0.0011668046727378158
H2-Q6,1.1273081860313647,-0.46258164813636465,0.15179695509118257,-3.047371061287082,0.0023085254240056917,0.9941115742069736,H2-Q6,-0.0011864616922637931
H2-Eb1,0.17292917022299614,-0.46512491950611756,0.5872688824893155,-0.7920135620578871,0.42835276845130077,0.9941115742069736,H2-Eb1,-0.0011929848521543766
S100a4,0.5166140092368302,-0.46797581221619244,0.25308695442650647,-1.8490712540937673,0.06444752454960373,0.9941115742069736,S100a4,-0.001200297020725882
Icam1,0.2749759286136231,-0.5097209884102666,0.3350132317687202,-1.5214950935494922,0.12813564164475785,0.9941115742069736,Icam1,-0.0013073679618032304
Nr4a2,0.7446329609758062,-0.514681176120191,0.21282974713415886,-2.4182765005859723,0.015594222104834288,0.9941115742069736,Nr4a2,-0.0013200901973868787
Tnfaip3,1.4492890556173155,-0.5338564997822869,0.1645345687037443,-3.244646422865288,0.0011759654120236168,0.9941115742069736,Tnfaip3,-0.0013692724056597184
Spp1,0.3688174469954463,-0.5528395034667444,0.5091382409358588,-1.0858337854382283,0.27755253598999063,0.9941115742069736,Spp1,-0.0014179613382329186
Ccl3,1.3349707507737683,-0.592048594308684,0.3631373248279599,-1.6303710850686393,0.10302309199301081,0.9941115742069736,Ccl3,-0.001518527550619145
Ifng,0.47324823557005813,-0.5928507642632751,0.2929803712383532,-2.023517008178556,0.0430198718407962,0.9941115742069736,Ifng,-0.0015205850120978738
Pim1,1.4590505838259165,-0.6271028464972794,0.17336570496309767,-3.6172254866137656,0.00029777787756484636,0.9941115742069736,Pim1,-0.001608437142883087
Nfkbiz,0.6322322710063613,-0.6474748967604905,0.23732128127046306,-2.728263109377857,0.006366880211450062,0.9941115742069736,Nfkbiz,-0.0016606887990556795
Zfp36,1.2960289559356963,-0.6544554599744271,0.1971812412832149,-3.3190553813099353,0.0009032251422769427,0.9941115742069736,Zfp36,-0.0016785930347233255
Traf1,0.580790156169421,-0.6782479073572772,0.2187465635143757,-3.1006105717071244,0.0019312209451026211,0.9941115742069736,Traf1,-0.0017396175641197708
H2-Ab1,0.19968746442027174,-0.6923031757815608,0.5113564374689057,-1.3538563808999822,0.1757822019253028,0.9941115742069736,H2-Ab1,-0.0017756674974171273
Ly6c2,0.6830476432171381,-0.8948541213040083,0.374350619719997,-2.3904170960724795,0.016829248172865352,0.9941115742069736,Ly6c2,-0.0022951842974509905
Ifitm1,0.5994856152080461,-1.3996828720147072,0.7288441930040863,-1.9204143841026113,0.05480557807574568,0.9941115742069736,Ifitm1,-0.003590004306599007
H3f3b,8.187635792489159,-0.36875445566627013,0.08810548772768925,-4.185374432135176,2.8469641557932828e-05,0.17837653918122814,H3f3b,-0.2760725465267566
Nfkbia,1.9257552665240267,-0.8433595583236738,0.18578152373714532,-4.539523314045528,5.638154639459411e-06,0.07065171578706587,Nfkbia,-0.9706033602664651
